Setup title,"TFT Id-Vg-tian-cycle"
Application test name,"TFT Id-Vg-tian-cycle"
Test date,12/22/2017
Test time,12:19:53
Device ID,1
Count,2
Flags,!
Remarks,250-cycle
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,Vs,VdStart,VdStop,VdStep,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",-100,100,1,0,-0.5,-5,0.5,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vgate,Idrain,Isource,Igate,Rds,Vdrain
-100,3.907E-09,1.88E-10,-1.4014E-08,-2559508574.35372,-0.5
-99,2.393E-09,7.2E-11,-3.225E-09,-4178854993.73172,-0.5
-98,1.822E-09,2.4E-11,-2.133E-09,-5488474204.17124,-0.5
-97,2.138E-09,2.1E-11,-1.704E-09,-4677268475.21048,-0.5
-96,1.846E-09,5.06E-10,-3.61E-10,-5417118093.17443,-0.5
-95,1.513E-09,7.46E-10,-4.65E-10,-6609385327.16457,-0.5
-94,7.42E-10,1.23E-10,-4.77E-10,-13477088948.7871,-0.5
-93,4E-10,-1.17E-10,-1.285E-09,-25000000000,-0.5
-92,5.39E-10,-4E-11,-8.54E-10,-18552875695.7328,-0.5
-91,5.35E-10,-1.87E-10,-8.54E-10,-18691588785.0467,-0.5
-90,5.71E-10,-4.9E-11,-5.5E-10,-17513134851.1384,-0.5
-89,4.76E-10,5E-11,-3.6E-10,-21008403361.3445,-0.5
-88,5.59E-10,3.3E-11,-3.78E-10,-17889087656.5295,-0.5
-87,4.4E-10,-2.5E-11,-1.4E-11,-22727272727.2727,-0.5
-86,3.43E-10,7E-12,-3.57E-10,-29154518950.4373,-0.5
-85,3.05E-10,1.1E-11,-3.14E-10,-32786885245.9016,-0.5
-84,2.1E-10,1.8E-11,2E-11,-47619047619.0476,-0.5
-83,1.75E-10,1.38E-10,4.3E-11,-57142857142.8571,-0.5
-82,7.5E-11,5.9E-11,-2.1E-11,-133333333333.333,-0.5
-81,1.05E-10,5.3E-11,1.04E-10,-95238095238.0952,-0.5
-80,1.07E-10,6.2E-11,-2.07E-10,-93457943925.2336,-0.5
-79,1.53E-10,0,-7.8E-11,-65359477124.183,-0.5
-78,1.31E-10,-5.1E-11,-2.3E-11,-76335877862.5954,-0.5
-77,1.86E-10,5.8E-11,1.87E-10,-53763440860.2151,-0.5
-76,4.7E-11,6.2E-11,-5.9E-11,-212765957446.809,-0.5
-75,7.4E-11,-4.6E-11,-1.23E-10,-135135135135.135,-0.5
-74,-7.3E-11,-1.57E-10,1.11E-10,136986301369.863,-0.5
-73,-4.5E-11,-2.09E-10,-1.08E-10,222222222222.222,-0.5
-72,-2E-11,-1.5E-10,-9.8E-11,500000000000,-0.5
-71,-1.5E-11,-1.69E-10,-2.1E-11,666666666666.667,-0.5
-70,4.3E-11,-3.9E-11,3.44E-10,-232558139534.884,-0.5
-69,-1.3E-11,4.6E-11,-4.4E-11,769230769230.769,-0.5
-68,-6.4E-11,8.7E-11,2.84E-10,156250000000,-0.5
-67,-6.9E-11,1.07E-10,9E-11,144927536231.884,-0.5
-66,-1E-10,-1.24E-10,3.31E-10,100000000000,-0.5
-65,-1.11E-10,-1.6E-11,4.51E-10,90090090090.0901,-0.5
-64,-1.24E-10,1E-11,4.6E-10,80645161290.3226,-0.5
-63,-1.61E-10,3E-11,5.49E-10,62111801242.236,-0.5
-62,-8.8E-11,1.4E-11,5.08E-10,113636363636.364,-0.5
-61,-1.3E-10,9E-12,7.14E-10,76923076923.0769,-0.5
-60,-1.88E-10,9.3E-11,1.5E-10,53191489361.7021,-0.5
-59,-7.5E-11,2E-11,1.91E-10,133333333333.333,-0.5
-58,-9.6E-11,4.8E-11,4.8E-10,104166666666.667,-0.5
-57,-1.25E-10,3.2E-11,1.67E-10,80000000000,-0.5
-56,-1.26E-10,3.7E-11,1.55E-10,79365079365.0794,-0.5
-55,-9.7E-11,-1.7E-11,5.73E-10,103092783505.155,-0.5
-54,-1.5E-10,1.15E-10,1.79E-10,66666666666.6667,-0.5
-53,-9.3E-11,2E-12,2.06E-10,107526881720.43,-0.5
-52,-1.9E-10,8.3E-11,2.2E-10,52631578947.3684,-0.5
-51,-2.08E-10,7.1E-11,6.38E-10,48076923076.9231,-0.5
-50,-1.91E-10,1.95E-10,2.31E-10,52356020942.4084,-0.5
-49,-1.67E-10,6.9E-11,2.16E-10,59880239520.9581,-0.5
-48,-2.89E-10,1.87E-10,2.94E-10,34602076124.5675,-0.5
-47,-3.86E-10,2.15E-10,7.5E-10,25906735751.2953,-0.5
-46,-3.64E-10,1.88E-10,2.91E-10,27472527472.5275,-0.5
-45,-4.05E-10,2.23E-10,2.42E-10,24691358024.6914,-0.5
-44,-4.4E-10,2.01E-10,2.67E-10,22727272727.2727,-0.5
-43,-3.84E-10,2.04E-10,1.87E-10,26041666666.6667,-0.5
-42,-4.13E-10,2.61E-10,5.88E-10,24213075060.5327,-0.5
-41,-4.42E-10,2.41E-10,7.68E-10,22624434389.1403,-0.5
-40,-3.9E-10,3.38E-10,3.83E-10,25641025641.0256,-0.5
-39,-4.21E-10,4.82E-10,3.78E-10,23752969121.1401,-0.5
-38,-2.97E-10,4.64E-10,4.1E-10,33670033670.0337,-0.5
-37,-3.84E-10,4.37E-10,4.65E-10,26041666666.6667,-0.5
-36,-5.35E-10,3.61E-10,8.19E-10,18691588785.0467,-0.5
-35,-9.17E-10,1.73E-10,6.19E-10,10905125408.9422,-0.5
-34,-1.925E-09,-5.13E-10,3.7E-11,5194805194.80519,-0.5
-33,-6.25E-10,-1.67E-10,-5.91E-10,16000000000,-0.5
-32,-6.05E-10,3.81E-10,4.7E-10,16528925619.8347,-0.5
-31,-7.81E-10,2.52E-10,3.94E-10,12804097311.1396,-0.5
-30,-6.35E-10,3.02E-10,7.93E-10,15748031496.063,-0.5
-29,-5.76E-10,3.07E-10,4.86E-10,17361111111.1111,-0.5
-28,-5.54E-10,3.52E-10,3.57E-10,18050541516.2455,-0.5
-27,-6.41E-10,3.11E-10,8.02E-10,15600624024.961,-0.5
-26,-6.04E-10,3.79E-10,4.12E-10,16556291390.7285,-0.5
-25,-5.51E-10,3.53E-10,2.45E-10,18148820326.6788,-0.5
-24,-6.8E-10,3.87E-10,8.15E-10,14705882352.9412,-0.5
-23,-6.25E-10,4.12E-10,3.99E-10,16000000000,-0.5
-22,-6.22E-10,3.92E-10,3.87E-10,16077170418.0064,-0.5
-21,-6.6E-10,4.3E-10,7.21E-10,15151515151.5152,-0.5
-20,-7.01E-10,4.56E-10,3.72E-10,14265335235.378,-0.5
-19,-7.65E-10,4.68E-10,2.8E-10,13071895424.8366,-0.5
-18,-6.9E-10,4.73E-10,4.03E-10,14492753623.1884,-0.5
-17,-7.97E-10,5.11E-10,7.12E-10,12547051442.9109,-0.5
-16,-8.68E-10,5.69E-10,4.34E-10,11520737327.1889,-0.5
-15,-8.79E-10,5.36E-10,4.75E-10,11376564277.5882,-0.5
-14,-9.43E-10,6.33E-10,3.65E-10,10604453870.6257,-0.5
-13,-8.67E-10,7.21E-10,4.68E-10,11534025374.8558,-0.5
