Setup title,"TFT Id-Vg-tian-cycle"
Application test name,"TFT Id-Vg-tian-cycle"
Test date,12/22/2017
Test time,12:35:55
Device ID,1
Count,3
Flags,!
Remarks,
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,Vs,VdStart,VdStop,VdStep,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",-100,100,1,0,-0.5,-5,0.5,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vgate,Idrain,Isource,Igate,Rds,Vdrain
-100,3.069E-09,1.21E-10,-9.97E-09,-3258390355.16455,-0.5
-99,1.757E-09,3.1E-11,-2.452E-09,-5691519635.74274,-0.5
-98,1.257E-09,3.5E-11,-1.461E-09,-7955449482.89578,-0.5
-97,9.7E-10,7.2E-11,-1.297E-09,-10309278350.5155,-0.5
-96,1.022E-09,1.3E-10,-5.92E-10,-9784735812.13307,-0.5
-95,7.93E-10,1.17E-10,-4.65E-10,-12610340479.1929,-0.5
-94,5.1E-10,-1.93E-10,-7.54E-10,-19607843137.2549,-0.5
-93,2.96E-10,-2.53E-10,-7.95E-10,-33783783783.7838,-0.5
-92,2.43E-10,-2.52E-10,-7.55E-10,-41152263374.4856,-0.5
-91,2.19E-10,-2.38E-10,-5.62E-10,-45662100456.621,-0.5
-90,2.48E-10,-1.5E-10,-5.64E-10,-40322580645.1613,-0.5
-89,2.76E-10,-6E-11,-4.54E-10,-36231884057.971,-0.5
-88,1.75E-10,-9.4E-11,-1.28E-10,-57142857142.8571,-0.5
-87,1.92E-10,6E-12,-2.65E-10,-52083333333.3333,-0.5
-86,1.47E-10,-3.4E-11,-2.53E-10,-68027210884.3537,-0.5
-85,2.02E-10,2.7E-11,-2.3E-10,-49504950495.0495,-0.5
-84,1.57E-10,-1.4E-11,-2.66E-10,-63694267515.9236,-0.5
-83,3.3E-11,1.8E-11,-4.6E-11,-303030303030.303,-0.5
-82,1E-10,1.09E-10,-1.42E-10,-100000000000,-0.5
-81,6E-12,1.3E-11,8.4E-11,-1666666666666.67,-0.5
-80,5.7E-11,2E-11,2.13E-10,-175438596491.228,-0.5
-79,8E-11,1.9E-11,1.63E-10,-125000000000,-0.5
-78,-4.7E-11,1.7E-11,1.81E-10,212765957446.809,-0.5
-77,-7.5E-11,2.9E-11,-1.7E-11,133333333333.333,-0.5
-76,-4.3E-11,3.6E-11,1E-11,232558139534.884,-0.5
-75,-7E-11,-7.1E-11,2.47E-10,142857142857.143,-0.5
-74,-3E-11,1.63E-10,2.71E-10,333333333333.333,-0.5
-73,2E-11,3.82E-10,5.48E-10,-500000000000,-0.5
-72,2E-11,4.21E-10,5.49E-10,-500000000000,-0.5
-71,-6.7E-11,1.93E-10,3.36E-10,149253731343.284,-0.5
-70,-2.23E-10,1.06E-10,7.27E-10,44843049327.3543,-0.5
-69,-1.62E-10,1.8E-10,3.41E-10,61728395061.7284,-0.5
-68,-2.78E-10,1.89E-10,6.35E-10,35971223021.5827,-0.5
-67,-3.37E-10,1.85E-10,3.41E-10,29673590504.451,-0.5
-66,-1.99E-10,1E-11,2.93E-10,50251256281.407,-0.5
-65,-3.36E-10,8.2E-11,9.23E-10,29761904761.9048,-0.5
-64,-4.51E-10,1.4E-10,1.088E-09,22172949002.2173,-0.5
-63,-4.19E-10,9E-12,5.8E-10,23866348448.6874,-0.5
-62,-5.51E-10,5.4E-11,1.013E-09,18148820326.6788,-0.5
-61,-5.81E-10,6.2E-11,6.54E-10,17211703958.6919,-0.5
-60,-5.2E-10,2.9E-11,6.15E-10,19230769230.7692,-0.5
-59,-5.44E-10,1E-11,6.53E-10,18382352941.1765,-0.5
-58,-6.61E-10,-2.2E-11,1.175E-09,15128593040.8472,-0.5
-57,-5.94E-10,6.2E-11,1.067E-09,16835016835.0168,-0.5
-56,-7.9E-10,2.8E-11,1.027E-09,12658227848.1013,-0.5
-55,-5.56E-10,9.7E-11,7.55E-10,17985611510.7914,-0.5
-54,-6.34E-10,5.5E-11,1.132E-09,15772870662.4606,-0.5
-53,-6.47E-10,7.4E-11,8.18E-10,15455950540.9583,-0.5
-52,-5.33E-10,4.8E-11,6.3E-10,18761726078.7992,-0.5
-51,-6.45E-10,7.1E-11,1.281E-09,15503875968.9923,-0.5
-50,-5.44E-10,1.03E-10,7.3E-10,18382352941.1765,-0.5
-49,-4.71E-10,4.7E-11,9.44E-10,21231422505.3079,-0.5
-48,-5.32E-10,6.2E-11,1.084E-09,18796992481.203,-0.5
-47,-3.24E-10,1.45E-10,4.98E-10,30864197530.8642,-0.5
-46,-3.72E-10,1.3E-11,9.15E-10,26881720430.1075,-0.5
-45,-3.13E-10,-8E-12,1.109E-09,31948881789.1374,-0.5
-44,-3.51E-10,2.7E-11,8.83E-10,28490028490.0285,-0.5
-43,-3.29E-10,1.24E-10,1.373E-09,30395136778.1155,-0.5
-42,-2.79E-10,7.9E-11,1.432E-09,35842293906.81,-0.5
-41,-2.76E-10,1.1E-11,9.81E-10,36231884057.971,-0.5
-40,-2.01E-10,1.61E-10,3.1E-10,49751243781.0945,-0.5
-39,-3.06E-10,7.9E-11,7.99E-10,32679738562.0915,-0.5
-38,-1.67E-10,9.4E-11,2.96E-10,59880239520.9581,-0.5
-37,-2.42E-10,6.7E-11,8.3E-10,41322314049.5868,-0.5
-36,-2.5E-10,-4.6E-11,1.063E-09,40000000000,-0.5
-35,-2.59E-10,8E-11,7.15E-10,38610038610.0386,-0.5
-34,-2.38E-10,2E-11,1E-09,42016806722.6891,-0.5
-33,-1.99E-10,1.08E-10,3.09E-10,50251256281.407,-0.5
-32,-2.56E-10,1.2E-10,5.74E-10,39062500000,-0.5
-31,-2.15E-10,9.8E-11,2.66E-10,46511627906.9767,-0.5
-30,-2.2E-10,6.4E-11,5.64E-10,45454545454.5455,-0.5
-29,-2.84E-10,4.8E-11,7.64E-10,35211267605.6338,-0.5
-28,-2.53E-10,1.07E-10,6.22E-10,39525691699.6047,-0.5
-27,-3.57E-10,8.2E-11,7.28E-10,28011204481.7927,-0.5
-26,-3.27E-10,1.41E-10,3.26E-10,30581039755.3517,-0.5
-25,-3.97E-10,2.25E-10,4.22E-10,25188916876.5743,-0.5
-24,-3.94E-10,2.73E-10,4.9E-10,25380710659.8985,-0.5
-23,-3.69E-10,1.73E-10,2.73E-10,27100271002.71,-0.5
-22,-4.6E-10,2.29E-10,5.31E-10,21739130434.7826,-0.5
-21,-4.33E-10,1.66E-10,5.98E-10,23094688221.709,-0.5
-20,-4.8E-10,2.31E-10,3.5E-10,20833333333.3333,-0.5
-19,-4.78E-10,2.58E-10,2.68E-10,20920502092.0502,-0.5
-18,-4.86E-10,2.78E-10,5.25E-10,20576131687.2428,-0.5
-17,-5.19E-10,2.39E-10,3.03E-10,19267822736.0308,-0.5
-16,-5.42E-10,3.04E-10,5.72E-10,18450184501.845,-0.5
-15,-5.88E-10,3.13E-10,6.99E-10,17006802721.0884,-0.5
-14,-4.78E-10,4.17E-10,3.17E-10,20920502092.0502,-0.5
-13,-6.19E-10,3.53E-10,5.5E-10,16155088852.9887,-0.5
