Setup title,vfet-test
Application test name,"TFT Id-Vg-tian"
Test date,10/31/2017
Test time,12:02:45
Device ID,
Count,30
Flags,!
Remarks,
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,Vs,VdStart,VdStop,VdStep,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",-110,100,1,0,-0.05,-2,0.2,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vgate,Idrain,Isource,Igate,Rds,Vdrain
-110,-1.24454E-07,1.48624E-07,-8.6539E-08,8035097.30502836,-0.05
-109,-1.38461E-07,1.48593E-07,-1.45418E-08,7222250.3087512,-0.05
-108,-1.4262E-07,1.48704E-07,-7.6382E-09,7011639.32127331,-0.05
-107,-1.44288E-07,1.49193E-07,-5.1308E-09,6930583.27788867,-0.05
-106,-1.45032E-07,1.48559E-07,-3.90301E-09,6895030.06233107,-0.05
-105,-1.4512E-07,1.48612E-07,-3.0974E-09,6890848.95259096,-0.05
-104,-1.45737E-07,1.48384E-07,-2.66295E-09,6861675.48391966,-0.05
-103,-1.46246E-07,1.48541E-07,-2.24333E-09,6837793.85419088,-0.05
-102,-1.46326E-07,1.4843E-07,-2.046E-09,6834055.46519416,-0.05
-101,-1.46809E-07,1.48666E-07,-1.85388E-09,6811571.49766023,-0.05
-100,-1.47558E-07,1.49086E-07,-1.67721E-09,6776996.16422017,-0.05
-99,-1.47415E-07,1.49428E-07,-1.51158E-09,6783570.19299257,-0.05
-98,-1.47572E-07,1.48979E-07,-1.39661E-09,6776353.23774158,-0.05
-97,-1.4768E-07,1.49018E-07,-1.28998E-09,6771397.61646804,-0.05
-96,-1.48087E-07,1.49282E-07,-1.27408E-09,6752787.21292213,-0.05
-95,-1.48037E-07,1.49368E-07,-1.18749E-09,6755067.98975932,-0.05
-94,-1.48213E-07,1.49484E-07,-1.10581E-09,6747046.4804032,-0.05
-93,-1.48497E-07,1.49655E-07,-1.01847E-09,6734142.77729516,-0.05
-92,-1.48707E-07,1.49794E-07,-9.6949E-10,6724633.00315385,-0.05
-91,-1.48462E-07,1.49853E-07,-9.1646E-10,6735730.35524242,-0.05
-90,-1.49108E-07,1.50147E-07,-9.3432E-10,6706548.27373447,-0.05
-89,-1.49416E-07,1.50246E-07,-8.2574E-10,6692723.67082508,-0.05
-88,-1.5011E-07,1.50789E-07,-7.5505E-10,6661781.36033576,-0.05
-87,-1.50006E-07,1.50754E-07,-8.0505E-10,6666400.01066624,-0.05
-86,-1.50079E-07,1.50724E-07,-6.8411E-10,6663157.40376735,-0.05
-85,-1.50216E-07,1.50972E-07,-6.6616E-10,6657080.47078873,-0.05
-84,-1.50537E-07,1.51355E-07,-7.0047E-10,6642885.13787308,-0.05
-83,-1.50815E-07,1.51681E-07,-6.3288E-10,6630640.18831018,-0.05
-82,-1.50979E-07,1.51851E-07,-5.7407E-10,6623437.69663331,-0.05
-81,-1.51064E-07,1.51928E-07,-4.9359E-10,6619710.85103003,-0.05
-80,-1.51706E-07,1.52365E-07,-5.6277E-10,6591697.09833494,-0.05
-79,-1.517E-07,1.5241E-07,-5.4702E-10,6591957.81147001,-0.05
-78,-1.52202E-07,1.52798E-07,-5.0226E-10,6570215.89729439,-0.05
-77,-1.52236E-07,1.52783E-07,-4.8897E-10,6568748.52203158,-0.05
-76,-1.52968E-07,1.53358E-07,-4.1528E-10,6537314.99398567,-0.05
-75,-1.52863E-07,1.5352E-07,-4.8056E-10,6541805.40745635,-0.05
-74,-1.53281E-07,1.53851E-07,-4.6888E-10,6523965.78832341,-0.05
-73,-1.53743E-07,1.54158E-07,-4.4027E-10,6504361.17416728,-0.05
-72,-1.5375E-07,1.54466E-07,-4.0067E-10,6504065.04065041,-0.05
-71,-1.54221E-07,1.54612E-07,-4.49734E-10,6484201.2436698,-0.05
-70,-1.54349E-07,1.54971E-07,-4.0461E-10,6478823.96387408,-0.05
-69,-1.5495E-07,1.55214E-07,-3.3939E-10,6453694.74023879,-0.05
-68,-1.54893E-07,1.55876E-07,-3.51667E-10,6456069.67390392,-0.05
-67,-1.56255E-07,1.55872E-07,-3.5406E-10,6399795.20655339,-0.05
-66,-1.5657E-07,1.57065E-07,-2.2178E-10,6386919.58868238,-0.05
-65,-1.57119E-07,1.57686E-07,-1.313E-10,6364602.62603504,-0.05
-64,-1.57524E-07,1.58266E-07,-3.1454E-10,6348238.99850181,-0.05
-63,-1.57957E-07,1.58575E-07,-2.93497E-10,6330836.87332628,-0.05
-62,-1.585E-07,1.58841E-07,-2.5913E-10,6309148.26498423,-0.05
-61,-1.57945E-07,1.58398E-07,-2.1591E-10,6331317.86381335,-0.05
-60,-1.58776E-07,1.58936E-07,-1.0601E-10,6298181.08530257,-0.05
-59,-1.59374E-07,1.59984E-07,-1.97833E-10,6274549.17364187,-0.05
-58,-1.60448E-07,1.60783E-07,-8.81E-11,6232548.86318309,-0.05
-57,-1.60631E-07,1.61071E-07,-8.772E-11,6225448.38792014,-0.05
-56,-1.61531E-07,1.61877E-07,-1.49534E-10,6190762.14472764,-0.05
-55,-1.62043E-07,1.62426E-07,-9.042E-11,6171201.47121443,-0.05
-54,-1.62851E-07,1.6326E-07,1.825E-11,6140582.49565554,-0.05
-53,-1.63834E-07,1.64015E-07,1.91E-11,6103739.15060366,-0.05
-52,-1.64785E-07,1.64981E-07,6.368E-11,6068513.51761386,-0.05
-51,-1.65804E-07,1.65812E-07,8.32E-11,6031217.5822055,-0.05
-50,-1.66335E-07,1.66532E-07,-3.4606E-11,6011963.80797788,-0.05
-49,-1.67436E-07,1.67553E-07,3.392E-11,5972431.25731623,-0.05
-48,-1.68124E-07,1.6839E-07,6.09E-11,5947990.76871833,-0.05
-47,-1.69195E-07,1.69392E-07,1.5926E-10,5910340.14007506,-0.05
-46,-1.70306E-07,1.70488E-07,1.4388E-10,5871783.73046164,-0.05
-45,-1.71431E-07,1.71577E-07,2.2181E-10,5833250.69561515,-0.05
-44,-1.72191E-07,1.72317E-07,2.8295E-10,5807504.45725967,-0.05
-43,-1.73447E-07,1.73569E-07,2.8425E-10,5765449.96454248,-0.05
-42,-1.74906E-07,1.7461E-07,2.9708E-10,5717356.75162659,-0.05
-41,-1.76252E-07,1.76424E-07,2.5441E-10,5673694.48289949,-0.05
-40,-1.77754E-07,1.77526E-07,3.4364E-10,5625752.44438944,-0.05
-39,-1.78748E-07,1.78677E-07,4.027E-10,5594468.18985387,-0.05
-38,-1.80134E-07,1.80238E-07,3.2469E-10,5551422.82967125,-0.05
-37,-1.81541E-07,1.81533E-07,4.0976E-10,5508397.55206813,-0.05
-36,-1.83464E-07,1.83442E-07,4.4437E-10,5450660.62006715,-0.05
-35,-1.85092E-07,1.84971E-07,4.5603E-10,5402718.64802369,-0.05
-34,-1.87084E-07,1.8657E-07,4.858E-10,5345192.53383507,-0.05
-33,-1.8822E-07,1.88286E-07,3.9488E-10,5312931.67569865,-0.05
-32,-1.89848E-07,1.89824E-07,5.3596E-10,5267371.79217058,-0.05
-31,-1.91223E-07,1.91272E-07,5.8185E-10,5229496.45178666,-0.05
