Setup title,"TFT Id-Vd-Tian"
Application test name,"TFT Id-Vd-Tian"
Test date,3/22/2018
Test time,10:14:58
Device ID,gr-ots-vfet
Count,12
Flags,!
Remarks,idvd-2-neg
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,VdStart,VdStop,VdStep,Vs,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",0,-100,25,-3,3,0.02,0,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vdrain,Idrain,Vgate,gds,Rds
-3,-0.000122662,0,-1.05500000000008E-05,-94786.7298578131
-2.98,-0.000122873,0,9.54999999999993E-06,104712.041884818
-2.96,-0.00012228,0,3.99E-05,25062.656641604
-2.94,-0.000121277,0,5.35499999999998E-05,18674.1363211952
-2.92,-0.000120138,0,5.89500000000001E-05,16963.5284139101
-2.9,-0.000118919,0,6.1675E-05,16214.025131739
-2.88,-0.000117671,0,6.41999999999998E-05,15576.323987539
-2.86,-0.000116351,0,6.53499999999999E-05,15302.2188217292
-2.84,-0.000115057,0,6.6475E-05,15043.2493418578
-2.82,-0.000113692,0,6.75250000000007E-05,14809.3298778229
-2.8,-0.000112356,0,6.88000000000008E-05,14534.8837209301
-2.78,-0.00011094,0,6.97E-05,14347.2022955524
-2.76,-0.000109568,0,6.80499999999997E-05,14695.0771491551
-2.74,-0.000108218,0,6.895E-05,14503.2632342277
-2.72,-0.00010681,0,7.0025E-05,14280.6140664049
-2.7,-0.000105417,0,6.94249999999997E-05,14404.0331292763
-2.68,-0.000104033,0,7.08750000000002E-05,14109.3474426807
-2.66,-0.000102582,0,7.14750000000001E-05,13990.9059111577
-2.64,-0.000101174,0,7.09049999999999E-05,14103.3777589733
-2.62,-9.97458E-05,0,7.11450000000001E-05,14055.8015320824
-2.6,-9.83282E-05,0,7.0965E-05,14091.453533432
-2.58,-9.69072E-05,0,6.97799999999998E-05,14330.7537976498
-2.56,-9.5537E-05,0,6.91274999999999E-05,14466.0229286464
-2.54,-9.41421E-05,0,7.03975E-05,14205.0498952378
-2.52,-9.27211E-05,0,7.01974999999999E-05,14245.5215641583
-2.5,-9.13342E-05,0,6.96049999999998E-05,14366.7839954027
-2.48,-8.99369E-05,0,7.04175E-05,14201.0153725991
-2.46,-8.85175E-05,0,7.03375000000002E-05,14217.1672294295
-2.44,-8.71234E-05,0,6.97975E-05,14327.1607149253
-2.42,-8.57256E-05,0,6.91675E-05,14457.657136661
-2.4,-8.43567E-05,0,6.88049999999997E-05,14533.8274834678
-2.38,-8.29734E-05,0,6.88525E-05,14523.80087869
-2.36,-8.16026E-05,0,6.86475000000002E-05,14567.1728759241
-2.34,-8.02275E-05,0,6.79974999999998E-05,14706.4230302585
-2.32,-7.88827E-05,0,6.83575000000007E-05,14628.9726803934
-2.3,-7.74932E-05,0,6.78725000000006E-05,14733.5076798407
-2.28,-7.61678E-05,0,6.75974999999999E-05,14793.4465031991
-2.26,-7.47893E-05,0,6.85000000000001E-05,14598.5401459854
-2.24,-7.34278E-05,0,6.72099999999999E-05,14878.7382829936
-2.22,-7.21009E-05,0,6.6445E-05,15050.0413876138
-2.2,-7.077E-05,0,6.66925E-05,14994.1897514713
-2.18,-6.94332E-05,0,6.70149999999998E-05,14922.0323808103
-2.16,-6.80894E-05,0,6.61024999999997E-05,15128.0208766689
-2.14,-6.67891E-05,0,6.47375000000001E-05,15446.9974898629
-2.12,-6.54999E-05,0,6.46175000000002E-05,15475.6838317793
-2.1,-6.42044E-05,0,6.53199999999999E-05,15309.2467850582
-2.08,-6.28871E-05,0,6.49825E-05,15388.7585119071
-2.06,-6.16051E-05,0,6.4095E-05,15601.84101724
-2.04,-6.03233E-05,0,6.36074999999998E-05,15721.4164996267
-2.02,-5.90608E-05,0,6.35149999999998E-05,15744.3123671574
-2,-5.77827E-05,0,6.34299999999999E-05,15765.4106889485
-1.98,-5.65236E-05,0,6.24100000000001E-05,16023.0732254446
-1.96,-5.52863E-05,0,6.24824999999999E-05,16004.4812547514
-1.94,-5.40243E-05,0,6.19449999999999E-05,16143.3529744128
-1.92,-5.28085E-05,0,6.13025000000004E-05,16312.548427878
-1.9,-5.15722E-05,0,6.12425000000002E-05,16328.5300240845
