Setup title,"TFT Id-Vd-Tian"
Application test name,"TFT Id-Vd-Tian"
Test date,3/22/2018
Test time,10:46:38
Device ID,gr-ots-vfet
Count,1
Flags,!
Remarks,idvd-3-pos
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,VdStart,VdStop,VdStep,Vs,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU",0,100,25,-3,3,0.02,0,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vdrain,Idrain,Vgate,gds,Rds
-3,-2.72093E-07,0,2.74499999999999E-07,3642987.24954464
-2.98,-2.66603E-07,0,-2.98750000000001E-08,-33472803.3472802
-2.96,-2.73288E-07,0,-2.252E-07,-4440497.3357016
-2.94,-2.75611E-07,0,3.84999999999999E-08,25974025.974026
-2.92,-2.71748E-07,0,1.11925E-07,8934554.38909981
-2.9,-2.71134E-07,0,1.04425E-07,9576250.89777353
-2.88,-2.67571E-07,0,7.14249999999995E-08,14000700.0350018
-2.86,-2.68277E-07,0,5.56250000000002E-08,17977528.0898876
-2.84,-2.65346E-07,0,5.92750000000003E-08,16870518.768452
-2.82,-2.65906E-07,0,9.96500000000002E-08,10035122.9302559
-2.8,-2.6136E-07,0,3.29125000000003E-07,3038359.28598554
-2.78,-2.52741E-07,0,2.65925E-07,3760458.77597067
-2.76,-2.50723E-07,0,1.20225000000001E-07,8317737.57537946
-2.74,-2.47932E-07,0,1.36474999999999E-07,7327349.33137942
-2.72,-2.45264E-07,0,1.2815E-07,7803355.44284044
-2.7,-2.42806E-07,0,1.33825E-07,7472445.35774332
-2.68,-2.39911E-07,0,9.62749999999999E-08,10386912.4902623
-2.66,-2.38955E-07,0,1.81625E-07,5505849.96558844
-2.64,-2.32646E-07,0,2.01975E-07,4951107.81037257
-2.62,-2.30876E-07,0,1.7555E-07,5696382.79692394
-2.6,-2.25624E-07,0,2.03025E-07,4925501.7854944
-2.58,-2.22755E-07,0,1.05824999999999E-07,9449562.95771325
-2.56,-2.21391E-07,0,1.6545E-07,6044122.09126626
-2.54,-2.16137E-07,0,2.108E-07,4743833.0170778
-2.52,-2.12959E-07,0,1.3625E-07,7339449.54128439
-2.5,-2.10687E-07,0,1.889E-07,5293806.24669138
-2.48,-2.05403E-07,0,1.714E-07,5834305.71761962
-2.46,-2.03831E-07,0,9.37000000000003E-08,10672358.5912486
-2.44,-2.01655E-07,0,1.59725E-07,6260760.68242293
-2.42,-1.97442E-07,0,1.02874999999999E-07,9720534.62940467
-2.4,-1.9754E-07,0,8.11249999999999E-08,12326656.394453
-2.38,-1.94197E-07,0,2.29075E-07,4365382.51664302
-2.36,-1.88377E-07,0,2.3475E-07,4259850.90521832
-2.34,-1.84807E-07,0,1.232E-07,8116883.11688312
-2.32,-1.83449E-07,0,1.06200000000001E-07,9416195.85687373
-2.3,-1.80559E-07,0,1.07675000000001E-07,9287206.87253302
-2.28,-1.79142E-07,0,7.23249999999999E-08,13826477.7048047
-2.26,-1.77666E-07,0,1.032E-07,9689922.48062017
-2.24,-1.75014E-07,0,1.6845E-07,5936479.66755715
-2.22,-1.70928E-07,0,1.69925E-07,5884949.24231279
-2.2,-1.68217E-07,0,1.48275E-07,6744225.25712359
-2.18,-1.64997E-07,0,1.706E-07,5861664.71277843
-2.16,-1.61393E-07,0,1.0875E-07,9195402.29885056
-2.14,-1.60647E-07,0,7.32999999999997E-08,13642564.8021829
-2.12,-1.58461E-07,0,1.19925E-07,8338544.92391081
-2.1,-1.5585E-07,0,1.28775E-07,7765482.43059598
-2.08,-1.5331E-07,0,1.34325E-07,7444630.56020845
-2.06,-1.50477E-07,0,1.26E-07,7936507.93650795
-2.04,-1.4827E-07,0,1.66275E-07,6014133.21305068
-2.02,-1.43826E-07,0,1.58374999999999E-07,6314127.86108921
